,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
0,Grand Theft Auto V    ,PS3,Rockstar Games  ,Rockstar North  ,9.5,9.4,N/A  ,20.32m,6.37m,9.85m,0.99m,3.12m,17th Sep 13  ,
1,Grand Theft Auto V    ,PS4,Rockstar Games  ,Rockstar North  ,N/A  ,9.7,N/A  ,19.39m,6.06m,9.71m,0.60m,3.02m,18th Nov 14  ,03rd Jan 18
2,Grand Theft Auto: Vice City    ,PS2,Rockstar Games  ,Rockstar North  ,N/A  ,9.6,N/A  ,16.15m,8.41m,5.49m,0.47m,1.78m,28th Oct 02  ,
3,Grand Theft Auto V    ,X360,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,15.86m,9.06m,5.33m,0.06m,1.42m,17th Sep 13  ,
4,Call of Duty: Black Ops 3    ,PS4,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,15.09m,6.18m,6.05m,0.41m,2.44m,06th Nov 15  ,14th Jan 18
5,Call of Duty: Modern Warfare 3    ,X360,Activision  ,Infinity Ward  ,N/A  ,8.7,N/A  ,14.82m,9.07m,4.29m,0.13m,1.33m,08th Nov 11  ,
6,Call of Duty: Black Ops    ,X360,Activision  ,Treyarch  ,N/A  ,8.8,N/A  ,14.74m,9.76m,3.73m,0.11m,1.14m,09th Nov 10  ,
7,Red Dead Redemption 2    ,PS4,Rockstar Games  ,Rockstar Games  ,8,9.8,N/A  ,13.94m,5.26m,6.21m,0.21m,2.26m,26th Oct 18  ,02nd Nov 18
8,Call of Duty: Black Ops II    ,X360,Activision  ,Treyarch  ,8.9,N/A  ,N/A  ,13.86m,8.27m,4.32m,0.07m,1.20m,13th Nov 12  ,07th Apr 18
9,Call of Duty: Black Ops II    ,PS3,Activision  ,Treyarch  ,N/A  ,N/A  ,N/A  ,13.80m,4.99m,5.88m,0.65m,2.28m,13th Nov 12  ,07th Apr 18
